#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Homo sapiens","Eukaryota;Animals;Mammals","","","PRJNA31257","GCA_000001405.28"," Chromosome",3272.09,41.4778,"chromosome 1:NC_000001.11/CM000663.2; chromosome 2:NC_000002.12/CM000664.2; chromosome 3:NC_000003.12/CM000665.2; chromosome 4:NC_000004.12/CM000666.2; chromosome 5:NC_000005.10/CM000667.2; chromosome 6:NC_000006.12/CM000668.2; chromosome 7:NC_000007.14/CM000669.2; chromosome 8:NC_000008.11/CM000670.2; chromosome 9:NC_000009.12/CM000671.2; chromosome 10:NC_000010.11/CM000672.2; chromosome 11:NC_000011.10/CM000673.2; chromosome 12:NC_000012.12/CM000674.2; chromosome 13:NC_000013.11/CM000675.2; chromosome 14:NC_000014.9/CM000676.2; chromosome 15:NC_000015.10/CM000677.2; chromosome 16:NC_000016.10/CM000678.2; chromosome 17:NC_000017.11/CM000679.2; chromosome 18:NC_000018.10/CM000680.2; chromosome 19:NC_000019.10/CM000681.2; chromosome 20:NC_000020.11/CM000682.2; chromosome 21:NC_000021.9/CM000683.2; chromosome 22:NC_000022.11/CM000684.2; chromosome X:NC_000023.11/CM000685.2; chromosome Y:NC_000024.10/CM000686.2; mitochondrion MT:NC_012920.1/J01415.2",,919,119801,"2002-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.28_GRCh38.p13","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.39_GRCh38.p13"
"Mus musculus","Eukaryota;Animals;Mammals","C57BL/6J","","PRJNA11777","GCA_000001635.8"," Chromosome",2818.97,41.951,"chromosome 1:NC_000067.6/CM000994.2; chromosome 2:NC_000068.7/CM000995.2; chromosome 3:NC_000069.6/CM000996.2; chromosome 4:NC_000070.6/CM000997.2; chromosome 5:NC_000071.6/CM000998.2; chromosome 6:NC_000072.6/CM000999.2; chromosome 7:NC_000073.6/CM001000.2; chromosome 8:NC_000074.6/CM001001.2; chromosome 9:NC_000075.6/CM001002.2; chromosome 10:NC_000076.6/CM001003.2; chromosome 11:NC_000077.6/CM001004.2; chromosome 12:NC_000078.6/CM001005.2; chromosome 13:NC_000079.6/CM001006.2; chromosome 14:NC_000080.6/CM001007.2; chromosome 15:NC_000081.6/CM001008.2; chromosome 16:NC_000082.6/CM001009.2; chromosome 17:NC_000083.6/CM001010.2; chromosome 18:NC_000084.6/CM001011.2; chromosome 19:NC_000085.6/CM001012.2; chromosome X:NC_000086.7/CM001013.2; chromosome Y:NC_000087.7/CM001014.2; mitochondrion MT:NC_005089.1/AY172335.1",,336,87887,"2004-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.8_GRCm38.p6","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.26_GRCm38.p6"
"Glossina morsitans morsitans","Eukaryota;Animals;Insects","Yale","SAMEA3146294","PRJEA59499","GCA_001077435.1","Contig",363.107,34.1,,"CCAG01",24071,0,"2014-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/435/GCA_001077435.1_ASM107743v1",
"Takifugu rubripes","Eukaryota;Animals;Fishes","","SAMEA104384834","PRJEB31988","GCA_901000725.2"," Chromosome",384.127,45.6992,"chromosome 1:NC_042285.1/LR584231.2; chromosome 2:NC_042286.1/LR584245.2; chromosome 3:NC_042287.1/LR584237.1; chromosome 4:NC_042288.1/LR584242.2; chromosome 5:NC_042289.1/LR584247.1; chromosome 6:NC_042290.1/LR584250.1; chromosome 7:NC_042291.1/LR584238.1; chromosome 8:NC_042292.1/LR584234.2; chromosome 9:NC_042293.1/LR584246.2; chromosome 10:NC_042294.1/LR584251.2; chromosome 11:NC_042295.1/LR584241.1; chromosome 12:NC_042296.1/LR584248.2; chromosome 13:NC_042297.1/LR584232.1; chromosome 14:NC_042298.1/LR584244.1; chromosome 15:NC_042299.1/LR584240.2; chromosome 16:NC_042300.1/LR584249.2; chromosome 17:NC_042301.1/LR584239.2; chromosome 18:NC_042302.1/LR584252.2; chromosome 19:NC_042303.1/LR584235.1; chromosome 20:NC_042304.1/LR584236.2; chromosome 21:NC_042305.1/LR584233.2; chromosome 22:NC_042306.1/LR584243.1; mitochondrion MT:NC_004299.1/","CAAJGN02",128,46760,"2019-04-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/000/725/GCA_901000725.2_fTakRub1.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/000/725/GCF_901000725.2_fTakRub1.2"
"Ciona savignyi","Eukaryota;Animals;Other Animals","","SAMN02952906","PRJNA1435","GCA_000149265.1","Scaffold",587.353,37.5,,"AACT01",34009,0,"2003-10-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/265/GCA_000149265.1_ASM14926v1",
"Rattus norvegicus","Eukaryota;Animals;Mammals","mixed","SAMN02808228","PRJNA10629","GCA_000001895.4"," Chromosome",2870.18,42.3282,"chromosome 1:NC_005100.4/CM000072.5; chromosome 2:NC_005101.4/CM000073.5; chromosome 3:NC_005102.4/CM000074.5; chromosome 4:NC_005103.4/CM000075.5; chromosome 5:NC_005104.4/CM000076.5; chromosome 6:NC_005105.4/CM000077.5; chromosome 7:NC_005106.4/CM000078.5; chromosome 8:NC_005107.4/CM000079.5; chromosome 9:NC_005108.4/CM000080.5; chromosome 10:NC_005109.4/CM000081.5; chromosome 11:NC_005110.4/CM000082.5; chromosome 12:NC_005111.4/CM000083.5; chromosome 13:NC_005112.4/CM000084.5; chromosome 14:NC_005113.4/CM000085.5; chromosome 15:NC_005114.4/CM000086.5; chromosome 16:NC_005115.4/CM000087.5; chromosome 17:NC_005116.4/CM000088.5; chromosome 18:NC_005117.4/CM000089.5; chromosome 19:NC_005118.4/CM000090.5; chromosome 20:NC_005119.4/CM000091.5; chromosome X:NC_005120.4/CM000092.5; chromosome Y:NC_024475.1/CM002824.1; mitochondrion MT:NC_001665.2/AY172581.1","AABR07",1395,56113,"2002-11-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/895/GCA_000001895.4_Rnor_6.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/895/GCF_000001895.5_Rnor_6.0"
"Branchiostoma floridae","Eukaryota;Animals;Other Animals","S238N-H82","SAMN02953694","PRJNA20249","GCA_000003815.1","Scaffold",521.895,41.8,,"ABEP02",398,28623,"2008-04-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/815/GCA_000003815.1_Version_2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.1_Version_2"
"Bombyx mori","Eukaryota;Animals;Insects","p50T (= Dazao)","SAMD00036537","PRJDA20217","GCA_000151625.1","Scaffold",481.819,38.7993,"mitochondrion MT:NC_002355.1/","BABH01",43463,22571,"2008-04-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/625/GCA_000151625.1_ASM15162v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/625/GCF_000151625.1_ASM15162v1"
"Felis catus","Eukaryota;Animals;Mammals","Cinnamon","SAMN02953640","PRJNA16726","GCA_000181335.4"," Chromosome",2521.86,41.8806,"chromosome A1:NC_018723.3/CM001378.3; chromosome A2:NC_018724.3/CM001379.3; chromosome A3:NC_018725.3/CM001380.3; chromosome B1:NC_018726.3/CM001381.3; chromosome B2:NC_018727.3/CM001382.3; chromosome B3:NC_018728.3/CM001383.3; chromosome B4:NC_018729.3/CM001384.3; chromosome C1:NC_018730.3/CM001385.3; chromosome C2:NC_018731.3/CM001386.3; chromosome D1:NC_018732.3/CM001387.3; chromosome D2:NC_018733.3/CM001388.3; chromosome D3:NC_018734.3/CM001389.3; chromosome D4:NC_018735.3/CM001390.3; chromosome E1:NC_018736.3/CM001391.3; chromosome E2:NC_018737.3/CM001392.3; chromosome E3:NC_018738.3/CM001393.3; chromosome F1:NC_018739.3/CM001394.3; chromosome F2:NC_018740.3/CM001395.3; chromosome X:NC_018741.3/CM001396.3; mitochondrion MT:NC_001700.1/","AANG04",4525,54726,"2006-04-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/335/GCA_000181335.4_Felis_catus_9.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/335/GCF_000181335.3_Felis_catus_9.0"
"Xenopus tropicalis","Eukaryota;Animals;Amphibians","Nigerian","SAMN13041969","PRJNA577946","GCA_000004195.4"," Chromosome",1451.3,40.7533,"chromosome 1:NC_030677.2/CM004443.2; chromosome 2:NC_030678.2/CM004444.2; chromosome 3:NC_030679.2/CM004445.2; chromosome 4:NC_030680.2/CM004446.2; chromosome 5:NC_030681.2/CM004447.2; chromosome 6:NC_030682.2/CM004448.2; chromosome 7:NC_030683.2/CM004449.2; chromosome 8:NC_030684.2/CM004450.2; chromosome 9:NC_030685.2/CM004451.2; chromosome 10:NC_030686.2/CM004452.2; mitochondrion MT:NC_006839.1/","AAMC04",167,45099,"2009-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/195/GCA_000004195.4_UCB_Xtro_10.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/195/GCF_000004195.4_UCB_Xtro_10.0"
"Xenopus laevis","Eukaryota;Animals;Amphibians","J","SAMN04518361","PRJNA338693","GCA_001663975.1"," Chromosome",2718.43,40.2325,"chromosome 1L:NC_030724.1/CM004466.1; chromosome 1S:NC_030725.1/CM004467.1; chromosome 2L:NC_030726.1/CM004468.1; chromosome 2S:NC_030727.1/CM004469.1; chromosome 3L:NC_030728.1/CM004470.1; chromosome 3S:NC_030729.1/CM004471.1; chromosome 4L:NC_030730.1/CM004472.1; chromosome 4S:NC_030731.1/CM004473.1; chromosome 5L:NC_030732.1/CM004474.1; chromosome 5S:NC_030733.1/CM004475.1; chromosome 6L:NC_030734.1/CM004476.1; chromosome 6S:NC_030735.1/CM004477.1; chromosome 7L:NC_030736.1/CM004478.1; chromosome 7S:NC_030737.1/CM004479.1; chromosome 8L:NC_030738.1/CM004480.1; chromosome 8S:NC_030739.1/CM004481.1; chromosome 9_10L:NC_030740.1/CM004482.1; chromosome 9_10S:NC_030741.1/CM004483.1; mitochondrion MT:NC_001573.1/","LYTH01",108033,56817,"2016-06-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/975/GCA_001663975.1_Xenopus_laevis_v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/975/GCF_001663975.1_Xenopus_laevis_v2"
"Bos taurus","Eukaryota;Animals;Mammals","L1 Dominette 01449 registration number 42190680","SAMN03145444","PRJNA450837","GCA_002263795.2"," Chromosome",2715.85,41.9362,"chromosome 1:NC_037328.1/CM008168.2; chromosome 2:NC_037329.1/CM008169.2; chromosome 3:NC_037330.1/CM008170.2; chromosome 4:NC_037331.1/CM008171.2; chromosome 5:NC_037332.1/CM008172.2; chromosome 6:NC_037333.1/CM008173.2; chromosome 7:NC_037334.1/CM008174.2; chromosome 8:NC_037335.1/CM008175.2; chromosome 9:NC_037336.1/CM008176.2; chromosome 10:NC_037337.1/CM008177.2; chromosome 11:NC_037338.1/CM008178.2; chromosome 12:NC_037339.1/CM008179.2; chromosome 13:NC_037340.1/CM008180.2; chromosome 14:NC_037341.1/CM008181.2; chromosome 15:NC_037342.1/CM008182.2; chromosome 16:NC_037343.1/CM008183.2; chromosome 17:NC_037344.1/CM008184.2; chromosome 18:NC_037345.1/CM008185.2; chromosome 19:NC_037346.1/CM008186.2; chromosome 20:NC_037347.1/CM008187.2; chromosome 21:NC_037348.1/CM008188.2; chromosome 22:NC_037349.1/CM008189.2; chromosome 23:NC_037350.1/CM008190.2; chromosome 24:NC_037351.1/CM008191.2; chromosome 25:NC_037352.1/CM008192.2; chromosome 26:NC_037353.1/CM008193.2; chromosome 27:NC_037354.1/CM008194.2; chromosome 28:NC_037355.1/CM008195.2; chromosome 29:NC_037356.1/CM008196.2; chromosome X:NC_037357.1/CM008197.2; mitochondrion MT:NC_006853.1/CM008198.1","NKLS02",2211,63696,"2017-08-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/263/795/GCA_002263795.2_ARS-UCD1.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/795/GCF_002263795.1_ARS-UCD1.2"
"Ovis aries","Eukaryota;Animals;Mammals","OAR_USU_Benz2616","SAMEA104496890","PRJNA517172","GCA_002742125.1"," Chromosome",2869.91,41.9088,"chromosome 1:NC_040252.1/CM008472.1; chromosome 2:NC_040253.1/CM008473.1; chromosome 3:NC_040254.1/CM008474.1; chromosome 4:NC_040255.1/CM008475.1; chromosome 5:NC_040256.1/CM008476.1; chromosome 6:NC_040257.1/CM008477.1; chromosome 7:NC_040258.1/CM008478.1; chromosome 8:NC_040259.1/CM008479.1; chromosome 9:NC_040260.1/CM008480.1; chromosome 10:NC_040261.1/CM008481.1; chromosome 11:NC_040262.1/CM008482.1; chromosome 12:NC_040263.1/CM008483.1; chromosome 13:NC_040264.1/CM008484.1; chromosome 14:NC_040265.1/CM008485.1; chromosome 15:NC_040266.1/CM008486.1; chromosome 16:NC_040267.1/CM008487.1; chromosome 17:NC_040268.1/CM008488.1; chromosome 18:NC_040269.1/CM008489.1; chromosome 19:NC_040270.1/CM008490.1; chromosome 20:NC_040271.1/CM008491.1; chromosome 21:NC_040272.1/CM008492.1; chromosome 22:NC_040273.1/CM008493.1; chromosome 23:NC_040274.1/CM008494.1; chromosome 24:NC_040275.1/CM008495.1; chromosome 25:NC_040276.1/CM008496.1; chromosome 26:NC_040277.1/CM008497.1; chromosome X:NC_040278.1/CM008498.1; mitochondrion MT:NC_001941.1/","PEKD01",2641,42391,"2017-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/742/125/GCA_002742125.1_Oar_rambouillet_v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/742/125/GCF_002742125.1_Oar_rambouillet_v1.0"
"Sus scrofa","Eukaryota;Animals;Mammals","TJ Tabasco","SAMN02953785","PRJNA13421","GCA_000003025.6"," Chromosome",2501.91,41.971,"chromosome 1:NC_010443.5/CM000812.5; chromosome 2:NC_010444.4/CM000813.5; chromosome 3:NC_010445.4/CM000814.5; chromosome 4:NC_010446.5/CM000815.5; chromosome 5:NC_010447.5/CM000816.5; chromosome 6:NC_010448.4/CM000817.5; chromosome 7:NC_010449.5/CM000818.5; chromosome 8:NC_010450.4/CM000819.5; chromosome 9:NC_010451.4/CM000820.5; chromosome 10:NC_010452.4/CM000821.5; chromosome 11:NC_010453.5/CM000822.5; chromosome 12:NC_010454.4/CM000823.5; chromosome 13:NC_010455.5/CM000824.5; chromosome 14:NC_010456.5/CM000825.5; chromosome 15:NC_010457.5/CM000826.5; chromosome 16:NC_010458.4/CM000827.5; chromosome 17:NC_010459.5/CM000828.5; chromosome 18:NC_010460.4/CM000829.5; chromosome X:NC_010461.5/CM000830.5; chromosome Y:NC_010462.3/LT634572.1; mitochondrion MT:NC_000845.1/","AEMK02",706,63577,"2008-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/025/GCA_000003025.6_Sscrofa11.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/025/GCF_000003025.6_Sscrofa11.1"
"Canis lupus familiaris","Eukaryota;Animals;Mammals","","SAMN02953603","PRJNA13179","GCA_000002285.2"," Chromosome",2410.98,41.3022,"chromosome 1:NC_006583.3/CM000001.3; chromosome 2:NC_006584.3/CM000002.3; chromosome 3:NC_006585.3/CM000003.3; chromosome 4:NC_006586.3/CM000004.3; chromosome 5:NC_006587.3/CM000005.3; chromosome 6:NC_006588.3/CM000006.3; chromosome 7:NC_006589.3/CM000007.3; chromosome 8:NC_006590.3/CM000008.3; chromosome 9:NC_006591.3/CM000009.3; chromosome 10:NC_006592.3/CM000010.3; chromosome 11:NC_006593.3/CM000011.3; chromosome 12:NC_006594.3/CM000012.3; chromosome 13:NC_006595.3/CM000013.3; chromosome 14:NC_006596.3/CM000014.3; chromosome 15:NC_006597.3/CM000015.3; chromosome 16:NC_006598.3/CM000016.3; chromosome 17:NC_006599.3/CM000017.3; chromosome 18:NC_006600.3/CM000018.3; chromosome 19:NC_006601.3/CM000019.3; chromosome 20:NC_006602.3/CM000020.3; chromosome 21:NC_006603.3/CM000021.3; chromosome 22:NC_006604.3/CM000022.3; chromosome 23:NC_006605.3/CM000023.3; chromosome 24:NC_006606.3/CM000024.3; chromosome 25:NC_006607.3/CM000025.3; chromosome 26:NC_006608.3/CM000026.3; chromosome 27:NC_006609.3/CM000027.3; chromosome 28:NC_006610.3/CM000028.3; chromosome 29:NC_006611.3/CM000029.3; chromosome 30:NC_006612.3/CM000030.3; chromosome 31:NC_006613.3/CM000031.3; chromosome 32:NC_006614.3/CM000032.3; chromosome 33:NC_006615.3/CM000033.3; chromosome 34:NC_006616.3/CM000034.3; chromosome 35:NC_006617.3/CM000035.3; chromosome 36:NC_006618.3/CM000036.3; chromosome 37:NC_006619.3/CM000037.3; chromosome 38:NC_006620.3/CM000038.3; chromosome X:NC_006621.3/CM000039.3; mitochondrion MT:NC_002008.4/","AAEX03",3310,58776,"2004-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/285/GCA_000002285.2_CanFam3.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/285/GCF_000002285.3_CanFam3.1"
"Strongylocentrotus purpuratus","Eukaryota;Animals;Other Animals","Spur 01","SAMN00829422","PRJNA10736","GCA_000002235.4","Scaffold",921.856,37.4001,"mitochondrion MT:NC_001453.1/","AAGJ06",871,38439,"2005-03-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/235/GCA_000002235.4_Spur_5.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/235/GCF_000002235.5_Spur_5.0"
